"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GALNT4",9.25659347170851,2.40361305291448,0.129030511427353,18.6282533202836,1.89611911716087e-77,3.33153013501157e-76
"GALNT5",31.1689368164575,2.5667559872253,0.211529631755689,12.1342620696746,6.9534003875056e-34,5.12203106600498e-33
"GAN",23.8454289747905,2.06379150231768,0.0866852384520873,23.8078770869203,2.76783811942239e-125,8.87423311579764e-124
"GAS2L3",5.23316496507493,2.73982319714165,0.178647943870984,15.3364384597692,4.36495268331983e-53,5.08905322557996e-52
"GCC2",65.7500319711361,2.42321674530829,0.0709109222991319,34.1726868970362,6.15611791667707e-256,6.94530446163454e-254
"GCOM1",10.4747655273199,2.68201172241202,0.235470730722239,11.3900004224972,4.68987439916654e-30,3.10417138771477e-29
"GDAP2",33.4139005269526,2.84259877468567,0.0761048881432091,37.3510669818825,2.43630531440649e-305,4.35199538603207e-303
"GNB3",6.14091514208942,-2.21009898507459,0.312185939247604,-7.07943154134721,1.44746982669914e-12,4.2704059672868e-12
"GNL3L",12.7700727978345,2.06703221102639,0.107741400596972,19.185124748457,4.9275729718197e-82,9.16211058762758e-81
"GOLGA4",168.385521104793,2.28986277822208,0.0640270600816354,35.7639844044452,4.01092857706859e-280,5.47127120899219e-278
"GOLGA8H",0.76332559704941,2.18869010247273,0.415575454636818,5.26664912003882,1.38936396011992e-07,2.95833776381431e-07
"GOLGA8K",0.774754150373886,2.45180973930433,0.403608407093262,6.07472415394407,1.24201033632705e-09,3.04964246385e-09
"GOLGA8M",0.706566148422745,2.12593345337929,0.447502501843997,4.75066272170341,2.02751063990714e-06,3.9888287861291e-06
"GOLGA8O",1.1504195287896,3.56191675033174,0.439757466445286,8.0997300151012,5.50812901948939e-16,1.98438117496851e-15
"GOLGA8R",3.02752155034025,2.78356387086531,0.248536708725302,11.1998098194093,4.08609732400054e-29,2.62690190002691e-28
"GPATCH2L",61.0132575194792,2.21773251283547,0.0642398300288257,34.5227020656862,3.66190872115457e-261,4.36086828261304e-259
"GPC5",3.52824386589302,3.12107316218538,0.317442206635783,9.83194136426333,8.20221225464394e-23,4.20048446692602e-22
"GPR174",1.16743773756193,2.9857308095599,0.358031348392779,8.3392999606403,7.47316215212257e-17,2.81887375798389e-16
"GPR3",2.27059802795786,-2.08640190342443,0.493045563686761,-4.23166144691235,2.31971395787386e-05,4.20378115191996e-05
